year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2006,September 29th,Open Season,Adventure,106826899.00,85105259.00,191932158.00,85000000.00,,23624548.00,3833,5.80,86,3-D,Kids Fiction,https://www.the-numbers.com/movie/Open-Season-(2006)
2012,March 14th,Pray for Japan,Documentary,,n/a,,,,,,,90,Disaster,Factual,https://www.the-numbers.com/movie/Pray-for-Japan
2012,March 14th,La Delicatesse,Drama,3200055.00,n/a,3200055.00,,,,,,108,Death of a Spouse or FiancÃƒÂ©e / FiancÃƒÂ©,Contemporary Fiction,https://www.the-numbers.com/movie/delicatesse-La
2012,March 9th,Unter Bauern,Drama,,n/a,,,,,,,100,World War II,Dramatization,https://www.the-numbers.com/movie/Unter-Bauern
2012,March 16th,21 Jump Street,Comedy,64364762.00,138447667.00,202812429.00,42000000.00,,36302612.00,3121,7.20,109,Undercover,Contemporary Fiction,https://www.the-numbers.com/movie/21-Jump-Street
2012,March 9th,A Thousand Words,Comedy,2340359.00,18450127.00,20790486.00,40000000.00,,6176280.00,1890,4.30,91,Curses,Contemporary Fiction,https://www.the-numbers.com/movie/Thousand-Words-A
2012,March 9th,Sound of Noise,Comedy,,24565.00,,,,5877.00,3,2.20,102,Musicians,Contemporary Fiction,https://www.the-numbers.com/movie/Sound-of-Noise-The
2012,March 9th,Salmon Fishing in the Yemen,Drama,23967116.00,9041540.00,33008656.00,,,225894.00,18,6.00,111,Political,Contemporary Fiction,https://www.the-numbers.com/movie/Salmon-Fishing-in-the-Yemen
2012,March 9th,RomÃƒÂ©o Onze,Drama,,32457.00,,,,9055.00,4,4.00,100,,Contemporary Fiction,https://www.the-numbers.com/movie/Romeo-Onze
2012,March 9th,Silent House,Horror,3871023.00,12739737.00,16610760.00,2000000.00,,6660234.00,2124,2.90,86,Foreign-Language Remake,Contemporary Fiction,https://www.the-numbers.com/movie/Silent-House
2012,March 9th,Shakespeare High,Documentary,,n/a,,,,,,,91,Performing Arts,Factual,https://www.the-numbers.com/movie/Shakespeare-High
2012,March 9th,He'arat Shulayim,Drama,71109.00,2007451.00,2078560.00,,,47528.00,2,7.50,105,Religious,Contemporary Fiction,https://www.the-numbers.com/movie/Hearat-Shulayim
2012,March 9th,Jiro Dreams of Sushi,Documentary,237557.00,2552478.00,2790035.00,,,42035.00,2,9.10,81,Food,Factual,https://www.the-numbers.com/movie/Jiro-Dreams-of-Sushi
2012,March 9th,Good for Nothing,Western,,n/a,,,,,,,92,Cross-Class Romance,Historical Fiction,https://www.the-numbers.com/movie/Good-for-Nothing
2012,March 9th,Friends with Kids,Romantic Comedy,7106679.00,7251073.00,14357752.00,,,2019083.00,369,3.80,100,Directing Yourself,Contemporary Fiction,https://www.the-numbers.com/movie/Friends-with-Kids
2012,March 9th,The Decoy Bride,Comedy,78146.00,759.00,78905.00,,,542.00,1,1.00,89,Accidental Engagement or Marriage,Contemporary Fiction,https://www.the-numbers.com/movie/Decoy-Bride-The
2012,June 8th,Cartas a Elena,Drama,112743.00,8511.00,121254.00,,,7711.00,12,1.00,104,Immigration,Contemporary Fiction,https://www.the-numbers.com/movie/Cartas-a-elena
2012,March 9th,Bending the Rules,Drama,,n/a,,,,,,,83,Corrupt Cops,Contemporary Fiction,https://www.the-numbers.com/movie/Bending-the-Rules-(2012)
2015,January 23rd,Strange Magic,Adventure,1311760.00,12429583.00,13741343.00,,,5504441.00,3020,2.70,99,Fairies,Kids Fiction,https://www.the-numbers.com/movie/Strange-Magic
2015,January 23rd,Sei mai stata sulla luna?,Comedy,3065820.00,n/a,3065820.00,,,,,,90,,Contemporary Fiction,https://www.the-numbers.com/movie/Sei-mai-stata-sulla-luna-(Italy)-(2015)
2015,January 23rd,La reconstrucciÃƒÂ³n,Drama,10605.00,n/a,10605.00,,,,,,90,,Contemporary Fiction,https://www.the-numbers.com/movie/reconstruccion-La-(Argentina)(2013)
2015,January 23rd,Song One,Drama,404838.00,32251.00,437089.00,6000000.00,,20200.00,27,1.00,88,Romance,Contemporary Fiction,https://www.the-numbers.com/movie/Song-One
2015,January 23rd,Red Army,Documentary,108703.00,694647.00,803350.00,,,20100.00,3,4.30,85,Hockey,Factual,https://www.the-numbers.com/movie/Red-Army
2012,March 9th,Attenberg,Drama,,42582.00,,,,3998.00,1,5.50,96,Coming of Age,Contemporary Fiction,https://www.the-numbers.com/movie/Attenberg
2015,January 23rd,R100,Black Comedy,,24956.00,,5500000.00,,7263.00,10,2.40,99,Set in Japan,Contemporary Fiction,https://www.the-numbers.com/movie/R100
